ticker	label	date	open	high	low	close	volume	currency
FR0000124141	VEOLIA ENVIRONN.	26/05/2016	19,685	20,060	19,660	20,030	1796281	EUR
FR0000124141	VEOLIA ENVIRONN.	27/05/2016	19,990	20,190	19,950	20,190	1580598	EUR
FR0000124141	VEOLIA ENVIRONN.	30/05/2016	20,150	20,200	19,950	20,035	900764	EUR
FR0000124141	VEOLIA ENVIRONN.	31/05/2016	20,025	20,295	20,025	20,180	1756330	EUR
FR0000124141	VEOLIA ENVIRONN.	01/06/2016	20,435	20,650	20,225	20,390	2540567	EUR
FR0000124141	VEOLIA ENVIRONN.	02/06/2016	20,410	20,475	20,255	20,320	1511078	EUR
FR0000124141	VEOLIA ENVIRONN.	03/06/2016	20,375	20,500	20,200	20,315	1148937	EUR
FR0000124141	VEOLIA ENVIRONN.	06/06/2016	20,315	20,495	20,220	20,375	1009590	EUR
FR0000124141	VEOLIA ENVIRONN.	07/06/2016	20,450	20,600	20,335	20,580	1601070	EUR
FR0000124141	VEOLIA ENVIRONN.	08/06/2016	20,520	20,710	20,460	20,565	1349125	EUR
FR0000124141	VEOLIA ENVIRONN.	09/06/2016	20,470	20,565	20,325	20,480	1395848	EUR
FR0000124141	VEOLIA ENVIRONN.	10/06/2016	20,420	20,500	19,920	19,990	1870307	EUR
FR0000124141	VEOLIA ENVIRONN.	13/06/2016	19,780	19,865	19,670	19,740	1946498	EUR
FR0000124141	VEOLIA ENVIRONN.	14/06/2016	19,600	19,720	19,205	19,265	2193205	EUR
FR0000124141	VEOLIA ENVIRONN.	15/06/2016	19,365	19,610	19,300	19,310	1830959	EUR
FR0000124141	VEOLIA ENVIRONN.	16/06/2016	19,155	19,420	19,095	19,280	1835791	EUR
FR0000124141	VEOLIA ENVIRONN.	17/06/2016	19,395	19,410	19,250	19,305	2941592	EUR
FR0000124141	VEOLIA ENVIRONN.	20/06/2016	19,575	20,060	19,555	19,950	2038598	EUR
FR0000124141	VEOLIA ENVIRONN.	21/06/2016	20,105	20,265	20,030	20,170	1787783	EUR
FR0000124141	VEOLIA ENVIRONN.	22/06/2016	20,290	20,370	20,085	20,125	1670710	EUR
FR0000124141	VEOLIA ENVIRONN.	23/06/2016	19,980	19,980	19,590	19,750	4085561	EUR
FR0000124141	VEOLIA ENVIRONN.	24/06/2016	19,000	19,160	18,220	18,460	7580482	EUR
FR0000124141	VEOLIA ENVIRONN.	27/06/2016	18,395	18,565	18,010	18,060	2905287	EUR
FR0000124141	VEOLIA ENVIRONN.	28/06/2016	18,280	18,595	18,190	18,560	2123886	EUR
FR0000124141	VEOLIA ENVIRONN.	29/06/2016	18,725	19,210	18,725	19,145	1866111	EUR
FR0000124141	VEOLIA ENVIRONN.	30/06/2016	19,175	19,495	19,090	19,470	2142392	EUR
FR0000124141	VEOLIA ENVIRONN.	01/07/2016	19,525	19,640	19,285	19,380	2242006	EUR
FR0000124141	VEOLIA ENVIRONN.	04/07/2016	19,440	19,520	19,290	19,475	1343762	EUR
FR0000124141	VEOLIA ENVIRONN.	05/07/2016	19,360	19,430	19,060	19,110	2005599	EUR
FR0000124141	VEOLIA ENVIRONN.	06/07/2016	19,005	19,115	18,665	18,760	1720610	EUR
FR0000124141	VEOLIA ENVIRONN.	07/07/2016	18,835	19,105	18,740	18,770	1500553	EUR
FR0000124141	VEOLIA ENVIRONN.	08/07/2016	18,735	19,125	18,735	19,100	1474763	EUR
FR0000124141	VEOLIA ENVIRONN.	11/07/2016	19,160	19,310	19,060	19,225	1335005	EUR
FR0000124141	VEOLIA ENVIRONN.	12/07/2016	19,185	19,270	19,000	19,030	1641862	EUR
FR0000124141	VEOLIA ENVIRONN.	13/07/2016	19,005	19,345	18,955	19,310	1986770	EUR
FR0000124141	VEOLIA ENVIRONN.	14/07/2016	19,465	19,540	19,290	19,375	1911806	EUR
FR0000124141	VEOLIA ENVIRONN.	15/07/2016	19,325	19,550	19,275	19,350	1226481	EUR
FR0000124141	VEOLIA ENVIRONN.	18/07/2016	19,330	19,500	19,290	19,325	902464	EUR
FR0000124141	VEOLIA ENVIRONN.	19/07/2016	19,300	19,400	19,200	19,285	1084718	EUR
FR0000124141	VEOLIA ENVIRONN.	20/07/2016	19,385	19,590	19,170	19,565	1607254	EUR
FR0000124141	VEOLIA ENVIRONN.	21/07/2016	19,545	19,570	19,345	19,405	1575230	EUR
FR0000124141	VEOLIA ENVIRONN.	22/07/2016	19,285	19,505	19,245	19,390	1605552	EUR
FR0000124141	VEOLIA ENVIRONN.	25/07/2016	19,410	19,625	19,385	19,490	1090001	EUR
FR0000124141	VEOLIA ENVIRONN.	26/07/2016	19,460	19,685	19,365	19,610	1474153	EUR
FR0000124141	VEOLIA ENVIRONN.	27/07/2016	19,565	19,675	19,525	19,575	1236179	EUR
FR0000124141	VEOLIA ENVIRONN.	28/07/2016	19,605	20,070	19,520	19,825	2329185	EUR
FR0000124141	VEOLIA ENVIRONN.	29/07/2016	19,870	19,930	19,600	19,860	1602401	EUR
